,,Volos,,AEL Larissa,,S 15.15,,,,,,,,,,,,,,,,
,,AEK Athens ,,OFI Crete,,S 17.30,,,,,,,,,,,,,,,,
,,PAOK,,Olympiacos Piraeus,,S 17.30,,,,,,,,,,,,,,,,
,,,Austrian Bundesliga,,,,,,,,,,,,,,,,,,,
,,Admira,,Sturm Graz,,16.00,,,,,,,,,,,,,,,,
,,Mattersburg,,Altach,,16.00,,,,,,,,,,,,,,,,
,,Tirol,,Wolfsberger AC,,16.00,,,,,,,,,,,,,,,,
,,Hartberg,,Rapid Vienna,,S 13.30,,,,,,,,,,,,,,,,
,,LASK,,St. Polten,,S 13.30,,,,,,,,,,,,,,,,
,,Austria Vienna,,Salzburg,,S 16.00,,,,,,,,,,,,,,,,
,,,Poland Ekstraklasa,,,,,,,,,,,,,,,,,,,
,,Arka Gdynia,,Rakow,,14.00,,,,,,,,,,,,,,,,
,,Legia,,Jagiellonia,,16.30,,,,,,,,,,,,,,,,
,,Piast Gliwice,,Cracovia,,19.00,,,,,,,,,,,,,,,,
,,Wisla Plock,,Zaglebie,,S 11.30,,,,,,,,,,,,,,,,
,,Wisla,,Korona Kielce,,S 14.00,,,,,,,,,,,,,,,,
,,Lech Poznan,,Lechia Gdansk,,S 16.30,,,,,,,,,,,,,,,,
,,,Swiss Super League,,,,,,,,,,,,,,,,,,,
,,Thun,,Luzern,,18.00,,,,,,,,,,,,,,,,
,,Zurich,,Xamax,,18.00,,,,,,,,,,,,,,,,
,,Basel,,Servette,,S 15.00,,,,,,,,,,,,,,,,
,,Lugano,,Sion,,S 15.00,,,,,,,,,,,,,,,,
,,St. Gallen,,Young Boys,,S 15.00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
