Dan: Danish Cup,Den: Danish Cup
Dan: Danish Division One,Den: Danish Division One
Dan: Danish Landspokal Cup,Den: Danish Landspokal Cup
Dan: Danish Landspokal,Dan: Danish Landspokal
Dan: Danish Super League,Den: Danish Super League
Dan: Danish Superleague,Den: Danish Superleague
Dan: Danish Superleague,Den: Danish Superleague
Dut: Dutch Eerste,Hol: Dutch Eerste
Dut: Dutch Eredivisie,Hol: Dutch Eredivisie
Dut: Dutch Eredivision,Hol: Dutch Eredivision
Dut: Dutch KNVB Beker,Hol: Dutch KNVB Beker
Dut: Dutch KNVB Beker,Hol: Dutch KNVB Beker
Dut: Dutch KNVB Beker,Hol: Dutch KNVB Beker
EFL Cup,Eng: EFL Cup
EFL Trophy,Eng: EFL Trophy
Egy: Egyptian Premier League,Egy: Egyptian Premier League
Egy: Egyptian Super Cup,Egy: Egyptian Super Cup
Eur: Euro 2020 Qualifying,Eur: Euro 2020 Qualifying
Eur: Euro 2021 Womens Qualifiers,Eur: Euro 2021 Womens Qualifiers
Eur: Euro 2021 Womens Qualifiers,Eur: Euro 2021 Womens Qualifiers
Eur: Euro U19 Qualifying,Eur: Euro U19 Qualifying
Eur: Europa League,Eur: Europa League
Eur: European 2020 Qualifying,Eur: European 2020 Qualifying
Eur: European 2020 Qualifying,Eur: European 2020 Qualifying
Eur: European Championship Qualification,Eur: European Championship
Eur: European U19 Qualifying,Eur: European U19 Qualifying
Eur: European U19 Qualifying,Eur: European U19 Qualifying
Eur: European U19 Qualifying,Eur: European U19 Qualifying
Eur: European U19 Qualifying,Eur: European U19 Qualifying
Eur: European U21 Championship Qualification,Eur: European U21 Championship Qualification
Eur: European U21 Championship Qualification,Eur: European U21 Championship Qualification
Eur: European U21 Qualifying,Eur: European U21 Qualifying
Eur: European U21 Qualifying,Eur: European U21 Qualifying
Eur: European U21 Qualifying,Eur: European U21 Qualifying
Eur: European U21 Qualifying,Eur: European U21 Qualifying
FA Trophy,Eng: FA Trophy
FAI Cup,Nir: FAI Cup
FAI Division One,Ire: FAI Division One
FAI First Division,Ire: FAI First Division
FAI League Cup,Ire: FAI League Cup
FAI Premier Division,Ire: FAI Premier Division
FAI Premier League,Ire: FAI Premier League
FAI: FAI Premier Relegation,Ire: FAI Premier Relegation
FFA: FFA Cup Final,Aus: FFA Cup Final
Fin: Finland Veikkausliiga,Fin: Finnish Veikkausliiga
Fin: Finland Ykkonnen,Fin: Finnish Ykkonnen
Fin: Finnish Veikkausliga,Fin: Finnish Veikkausliga
Fin: Finnish Veikkausliiga,Fin: Finnish Veikkausliiga
Fin: Finnish Ykkonen,Fin: Finnish Ykkonen
Fin: Finnish Ykkonnen,Fin: Finnish Ykkonnen
Fra: France - La Championnat,Fra: French La Championnat
Fra: France Coupe De Ligue,Fra: French Coupe De Ligue
Fra: France La Championnat,Fra: French La Championnat
Fra: France La Championnat,Fra: French La Championnat
Fra: France National League,Fra: France National League
Fra: France National,Fra: French National
Fra: France la Championnat,Fra: French la Championnat
Fre: French Division One,Fra: French Division One
Fre: French Division One,Fra: French Division One
Fre: French Division Two,Fra: French Division Two
Fre: French Division Two,Fre: French Division Two
Fre: French Division Two,Fre: French Division Two
Ger: German Bundesliga,Ger: German Bundesliga
Ger: Germany Bundeslga Two,Ger: German Bundeslga Two
Ger: Germany Bundesliga Two,Ger: German Bundesliga Two
Ger: Germany Bundesliga Two,Ger: German Bundesliga Two
Ger: Germany Bundesliga Two,Ger: German Bundesliga Two
Ger: Germany Bundesliga,Ger: German Bundesliga
Ger: Germany DFB Pokal,Ger: German DFB Pokal
Ger: Germany DFB Pokal,Ger: German DFB Pokal
Gre: Greece Super League 2,Gre: Greek Super League 2
Gre: Greece Super League,Gre: Greek Super League
Gre: Greece Super Lig,Gre: Greek Super Lig
Gre: Greece Supereleague,Gre: Greek Supereleague
Gre: Greece Superleague,Gre: Greek Superleague
Gre: Greek Cup,Gre: Greek Cup
Gre: Greek Cup,Gre: Greek Cup
Gre: Greek League Two,Gre: Greek League Two
Hun: Hungary OTP,Hun: Hungarian OTP
Ice: Iceland Premier League,Ice: Icelandic Premier League
Ice: Icelandic Premier League,Ice: Icelandic Premier League
Ind: India - ISL,Ind: Indian - ISL
Ind: India Super League,Ind: Indian Super League
Ind: Indian ISL,Ind: Indian ISL
Ind: Indian Super League,Ind: Indian Super League
Ira: Iran Persian League,Ira: Iranian Persian League
Irish Cup,Ire: Irish Cup
Isr: Israel Leumit League,Isr: Israel Leumit League
Isr: Israel Leumit Liga,Isr: Israeli Leumit Liga
Isr: Israel Ligat Ha'Al,Isr: Israeli Ligat Ha'Al
Isr: Israel Ligat Ha'Al,Isr: Israeli Ligat Ha'Al
Isr: Israel Ligat Ha'al,Isr: Israeli Ligat Ha'al
Isr: Israel Premier League,Isr: Israeli Premier League
Isr: Israel State Cup,Isr: Israel State Cup
Isr: Israel State Cup,Isr: Israel State Cup
Isr: Israel Toto Cup Final,Isr: Israeli Toto Cup Final
